,BreweryName,BreweryType,Latitude,Longitude,County,State
76,Sonoma Springs Brewing Co,micro,38.294506,-122.477788,Sonoma,CA
77,South Lake Brewing Company,micro,38.9118004,-120.0074997,El Dorado,CA
78,State Room Brewery,brewpub,37.9732744779465,-122.52865849686,Marin,CA
79,Stone Brewing World Bistro & Gardens- Liberty Station,brewpub,32.7405237,-117.21157,San Diego,CA
80,Sufferfest Beer Company,proprietor,37.7980748571429,-122.428394714286,San Francisco,CA
81,Tap and Vine,brewpub,38.8995673848688,-121.06949555199,Placer,CA
82,TAPS Fish House and Brewery - Brea,brewpub,33.9171643,-117.9018387,Orange,CA
83,The Dancing Fox,brewpub,38.097198,-121.387849646574,San Joaquin,CA
84,Thunderhawk Alements,micro,32.8957500613992,-117.137466970906,San Diego,CA
85,Topa Topa Brewing Co,micro,34.2781592040816,-119.299444632653,Ventura,CA
86,Track 7 Brewing Co - Natomas,micro,38.6543681,-121.4908802,Sacramento,CA
87,Underground Brewing Co.,brewpub,35.2493387,-120.6420324,San Luis Obispo,CA
88,Urban Roots Brewing,brewpub,38.5657962653061,-121.49459077551,Sacramento,CA
89,Wolf Creek Brewery,micro,34.4555624289373,-118.580786794735,Los Angeles,CA
90,Woods Bar & Brewery,brewpub,37.8069575,-122.2704253,Alameda,CA
91,Woods CervecerÃ­a,brewpub,37.761163,-122.4285438,San Francisco,CA
92,3 Freaks Brewing Co,micro,39.5659575,-104.9426656,Douglas,CO
93,Barrels & Bottles Brewery,brewpub,39.7562107,-105.2202098,Jefferson,CO
94,BierWerks,brewpub,38.9941414,-105.0519462,Teller,CO
95,Big Choice Brewing Co,micro,39.9864294285714,-104.822433,Adams,CO
96,Dodgeton Creek Brewing Co.,planning,37.169397,-104.5005411,Las Animas,CO
97,Rebel Kettle Brewing Company,brewpub,34.7421112653061,-92.2620919591837,Pulaski,AR
98,Brass Brewing Company,micro,38.8326073,-104.818970612347,El Paso,CO
99,Burgundian Brewing Co.,micro,39.7825168,-105.002409475111,Denver,CO
100,Chain Reaction Brewing Company,micro,39.698793755102,-105.001629,Denver,CO
101,Crystal Springs Brewing Co,micro,39.964883,-105.119781,Boulder,CO
102,Dostal Alley Brewing Co,brewpub,39.8001431,-105.512426,Gilpin,CO
103,Estes Park Brewery,micro,40.3714876,-105.5261317,Larimer,CO
104,Alta Brewing Company,micro,32.7018758,-117.141471216793,San Diego,CA
105,Glenwood Canyon Brewing Co,brewpub,39.5476563,-107.323424,Garfield,CO
106,Golden Block Brewery,brewpub,37.8119443404304,-107.664230711091,San Juan,CO
107,High Alpine Brewing Company,brewpub,38.5446227755102,-106.927037673469,Gunnison,CO
108,Jessup Farm Barrel House,micro,40.5620458,-105.0380013,Larimer,CO
109,Lariat Lodge Brewing,brewpub,39.639351447261,-105.313692483851,Jefferson,CO
110,Manitou Brewing Company,brewpub,38.8569869,-104.915741327052,El Paso,CO
111,New Belgium Brewing Co,regional,40.59335825,-105.067842181802,Larimer,CO
112,Odell Brewing Co,regional,40.5895239,-105.063332717858,Larimer,CO
113,Peaks N Pines Brewing Company,micro,38.889659925238,-104.714604513467,El Paso,CO
114,Ratio Beerworks,micro,39.7615104,-104.9812181,Denver,CO
115,Red Truck Beer Company Ltd.,micro,40.58916845,-105.058489475164,Larimer,CO
116,"Rocky Mountain Taphouse, LLC",micro,40.387892,-104.7859342,Weld,CO
117,Spice Trade Brewing,brewpub,39.802334,-105.0841731,Jefferson,CO
118,The Grateful Gnome Sandwich Shoppe and Brewery,brewpub,39.7764426,-105.0432655,Denver,CO
119,The Larimer Beer Company,contract,39.7677376780982,-104.909348665308,Denver,CO
120,Upslope Brewing Company - Flatiron Park,micro,40.0203098,-105.2183136,Boulder,CO
121,Ute Pass Brewing Co,brewpub,38.9944899,-105.05133569001,Teller,CO
122,Walter Brewing Company,micro,38.2624164489796,-104.610367714286,Pueblo,CO
123,Beaver Beer Co,contract,41.12587,-73.311685,Fairfield,CT
124,Brass Works Brewing Company LLC,micro,41.5974763265155,-73.0575366209305,New Haven,CT
125,BruRm At Bar,brewpub,41.3061639,-72.9302577,New Haven,CT
126,Connecticut Valley Brewing Company,micro,41.8487282897209,-72.5714790446604,Hartford,CT
127,Counterweight Brewing Company,micro,41.3932116686678,-72.9195534130741,New Haven,CT
128,Nod Hill Brewery,micro,41.2731614754047,-73.4438849111635,Fairfield,CT
129,Thimble Island Brewery,micro,41.2969578585427,-72.7720276806763,New Haven,CT
130,Iron Hill Brewery & Restaurant - Newark,brewpub,39.6834128,-75.7468068,New Castle,DE
131,Mispillion River Brewing,micro,38.9307888466891,-75.450838711807,Kent,DE
132,Bardo Brewpub,micro,38.8716537346939,-77.0065830204082,District of Columbia,DC
133,Alcatraz Brewing,micro,29.6178119569148,-81.1928702816799,Flagler,FL
134,"Angry Chair Brewing, LLC.",micro,28.005127,-82.459381,Hillsborough,FL
135,Brew Life Brewing,micro,27.2700131176471,-82.4975180588235,Sarasota,FL
136,Bullfrog Creek Brewing Company,micro,27.9229731,-82.2695872,Hillsborough,FL
137,Caledonia Brewing,micro,28.01394225,-82.7840735,Pinellas,FL
138,Cocoa Beach Brewing Co,brewpub,28.3213572,-80.6090792,Brevard,FL
