Q1,Q2,Q3,Q4
58394,,43047,
76599,,59871,
61464,,52307,
132444,,48188,
87084,,54355,
132444,,52307,
72721,,59871,
83576,,54127,
84209,,54127,
83576,,68609,
72905,,68609,
72721,,48913,
135234,,68609,
83576,,54160,
74530,,68609,
90230,,68609,
71891,,49492,
85770,,48188,
107589,,68609,
91446,,45991,
86202,,45991,
107589,,82512,
90230,,68625,
90230,,82512,
107589,,62548,
72905,,74076,
83576,,53141,
83576,,79669,
83576,,82512,
83576,,82512,
72721,,74076,
72721,,68625,
121795,,68634,
72721,,56150,
72721,,49712,
72905,,49712,
95761,,56150,
53245,,56150,
68458,,68634,
121795,,56150,
112069,,49712,
58394,,68634,
83576,,54242,
97688,,56150,
112069,,58301,
85770,,68634,
71891,,58301,
83576,,48650,
121795,,68634,
83576,,54242,
121795,,56150,
107589,,56150,
87084,,68634,
46897,,68634,
83576,,68634,
45954,,68634,
83576,,48650,
48979,,70775,
83576,,70775,
72721,,52684,
56926,,52684,
74530,,52158,
83576,,52158,
106555,,48945,
135234,,52684,
72721,,41950,
74530,,70775,
48979,,52684,
86202,,44105,
90230,,52760,
51134,,83576,
68248,,87084,
121795,,97688,
74530,,56926,
74530,,72721,
87084,,76599,
61105,,72721,
83576,,72905,
121795,,107589,
121795,,132444,
72905,,107589,
135234,,83576,
87084,,107589,
121795,,72721,
60910,,62640,
97688,,95761,
132444,,72721,
72905,,76599,
90230,,121795,
53245,,83576,
83576,,83576,
74530,,72721,
90230,,83576,
72721,,71891,
87084,,71891,
121795,,70951,
69550,,95761,
132444,,66226,
121795,,83576,
121795,,121795,
107589,,85704,
52309,,70951,
132444,,135234,
83576,,72721,
132444,,95761,
87084,,95761,
107589,,72905,
61464,,67398,
87084,,72721,
88341,,72721,
51525,,58394,
77829,,95761,
50524,,83576,
75456,,132444,
75456,,72721,
88341,,121795,
75456,,68458,
75456,,95761,
77829,,71891,
88341,,107589,
77829,,72905,
78160,,72721,
88341,,85770,
75456,,72721,
123697,,83576,
75341,,83576,
73788,,83576,
77829,,72905,
72675,,76599,
72675,,95761,
50707,,59605,
72836,,83576,
89696,,71891,
75332,,135234,
86570,,107589,
52641,,83576,
77829,,83576,
78160,,67398,
78160,,83576,
60249,,72721,
60408,,76599,
88341,,70951,
75341,,62761,
89696,,106555,
89268,,72721,
71029,,85770,
89696,,58394,
50707,,86202,
72675,,72721,
75456,,72905,
60249,,83576,
89696,,45954,
61391,,95761,
72675,,83576,
87691,,83576,
52641,,58394,
75332,,121795,
60331,,69550,
78160,,74530,
88341,,72721,
89696,,68458,
88341,,71891,
72836,,72721,
60249,,56926,
51075,,107589,
82364,,107589,
56850,,83576,
72675,,51134,
75456,,72721,
86570,,132444,
88341,,121795,
72836,,87084,
88341,,72721,
57604,,72721,
75332,,107589,
72675,,83576,
60249,,56926,
123697,,48102,
52239,,68458,
38213,,107589,
51075,,83576,
77209,,83576,
77829,,74530,
60249,,107589,
86570,,83576,
88341,,66226,
88341,,56776,
48496,,46897,
75332,,83576,
52841,,71891,
88341,,72721,
75456,,67398,
88341,,83576,
79900,,83576,
75456,,91446,
96966,,95761,
96966,,83576,
75336,,95761,
96966,,72721,
63309,,72721,
75226,,83576,
63309,,121795,
64839,,97688,
58804,,72721,
76076,,72721,
64839,,90230,
64839,,51134,
64839,,91446,
64839,,71029,
76076,,83576,
76076,,83576,
90395,,83576,
90395,,83576,
90395,,83576,
64151,,97688,
61173,,83576,
90395,,72721,
61429,,68458,
66139,,45954,
61133,,59605,
72818,,72721,
66621,,72721,
56708,,85704,
58339,,95761,
58376,,71891,
63133,,71891,
39068,,67398,
52822,,83576,
61133,,83576,
61173,,83576,
56708,,95761,
58339,,72721,
69954,,72721,
66258,,69550,
63133,,71891,
72818,,86202,
54991,,106555,
61133,,107589,
56708,,97688,
67528,,86202,
66621,,86202,
63133,,121795,
58339,,76599,
58339,,87084,
61133,,72721,
79235,,83576,
41036,,71891,
79622,,72721,
57122,,83576,
43066,,74530,
79235,,83576,
50520,,83576,
79235,,132444,
79235,,91446,
79235,,67398,
63606,,83576,
54786,,95761,
86946,,61105,
73029,,67398,
77375,,71891,
86946,,107589,
86946,,71891,
46062,,87084,
72295,,56926,
54999,,71891,
64041,,72721,
53306,,62761,
39239,,132444,
54999,,72721,
64041,,83576,
75778,,61105,
65165,,87084,
75778,,76599,
73637,,72721,
69375,,91446,
57726,,83576,
54159,,72905,
69375,,132444,
90249,,121795,
69375,,90230,
53485,,121795,
57772,,72721,
60763,,95761,
60763,,72905,
59510,,72721,
69375,,67398,
69375,,83576,
69230,,70951,
69375,,72721,
61768,,70951,
69375,,74530,
69375,,107589,
64676,,72721,
61680,,51134,
69375,,83576,
59510,,83576,
66206,,83576,
96354,,70951,
69375,,71891,
92638,,56926,
69375,,83576,
69375,,76599,
61680,,90230,
92638,,121795,
96354,,91446,
69375,,72721,
57717,,83576,
55942,,91446,
69375,,83576,
69375,,83576,
59510,,61464,
59510,,72721,
69375,,70951,
69375,,72721,
69375,,56926,
56880,,72721,
59528,,123697,
43695,,86570,
84311,,92820,
50707,,78160,
50707,,89696,
85827,,75332,
53113,,75456,
57280,,89268,
50707,,88341,
59444,,88341,
53881,,89696,
107710,,72675,
107710,,75332,
53113,,87691,
55782,,75456,
107710,,75456,
56838,,75332,
54048,,38213,
74064,,72675,
51228,,60249,
51603,,78160,
84137,,75332,
57280,,75456,
47885,,75456,
53866,,75456,
57280,,89696,
50707,,75456,
63869,,75456,
53881,,82364,
57280,,72675,
50707,,60331,
48082,,60331,
53113,,88341,
50707,,75456,
50707,,75332,
57280,,75456,
71181,,75456,
62481,,72675,
56397,,52239,
97535,,72675,
53547,,75456,
67295,,75456,
67295,,89696,
62481,,79900,
52179,,78160,
67331,,86570,
65724,,75456,
67331,,78160,
65724,,60408,
63230,,75456,
60010,,89696,
51089,,75456,
66861,,82364,
64151,,75456,
53547,,123697,
67295,,75456,
55847,,72675,
60010,,75332,
60010,,75332,
51089,,77221,
60139,,75332,
62559,,75456,
60014,,75341,
50754,,89696,
59451,,75456,
56741,,88341,
91913,,75456,
47292,,75456,
91913,,72836,
75840,,86570,
60014,,51525,
62559,,70599,
60014,,75341,
51996,,75341,
60014,,82364,
59025,,75456,
59025,,75456,
58981,,75456,
58981,,75456,
59025,,75332,
48219,,82364,
53238,,75456,
38316,,75456,
45092,,38213,
71526,,88341,
51719,,82364,
50702,,75456,
58926,,75456,
55358,,79900,
75254,,50707,
50702,,82364,
58958,,75332,
58926,,78160,
55358,,89696,
51073,,72675,
40675,,88341,
50702,,88341,
55910,,106892,
66803,,75456,
50702,,75456,
50344,,96966,
55358,,69687,
49780,,63309,
49780,,75336,
100916,,90181,
65821,,75226,
49780,,75226,
110012,,96966,
121329,,96966,
54351,,75336,
121329,,75336,
101810,,75336,
65821,,69687,
49780,,96966,
110012,,69687,
111056,,75336,
74142,,69687,
76036,,75336,
77795,,69687,
83253,,81721,
83253,,75336,
75843,,75336,
75843,,64839,
77795,,58804,
106543,,76076,
106543,,90395,
69857,,90395,
77795,,61429,
74142,,56708,
76036,,61133,
106543,,58339,
58805,,49880,
75843,,90395,
60143,,90395,
83253,,53554,
66568,,62364,
53751,,55745,
87827,,90839,
50205,,58339,
51046,,67528,
50753,,54991,
76728,,79235,
43676,,56708,
66560,,54991,
69827,,49762,
58733,,66621,
50753,,61133,
59456,,55745,
60208,,63133,
56739,,60454,
76728,,56708,
81257,,56708,
87827,,56708,
47705,,49880,
56739,,64151,
51772,,56708,
56739,,58958,
65051,,90839,
66560,,55745,
81257,,49880,
55466,,56708,
47705,,62364,
46677,,64151,
66560,,56708,
50753,,58339,
65891,,51817,
66560,,52822,
65891,,47087,
66560,,57582,
66560,,61133,
49917,,57292,
50554,,55745,
58733,,49079,
50753,,69954,
42480,,50705,
59582,,57582,
50659,,58339,
50753,,58339,
81257,,61429,
65051,,67528,
66560,,63133,
66560,,54991,
66560,,66258,
60208,,61133,
48880,,54991,
50015,,56708,
81257,,50705,
76728,,56708,
66560,,66621,
54913,,62364,
76728,,49762,
66560,,64151,
54704,,53554,
50659,,54991,
44986,,63133,
49917,,55081,
45006,,63133,
49869,,56708,
50554,,47504,
65041,,52822,
50554,,53554,
69859,,56708,
50753,,63520,
46677,,56708,
50753,,76415,
50047,,63133,
65041,,57292,
81257,,56708,
66568,,66621,
56739,,57292,
56739,,56708,
66568,,56708,
64341,,58339,
66560,,52822,
49114,,56708,
81257,,51817,
58733,,61429,
69827,,63133,
56001,,56708,
65041,,61133,
45006,,58339,
47343,,61173,
81257,,57660,
76728,,56708,
58317,,54991,
50659,,63606,
54704,,47296,
50753,,79235,
56934,,79235,
72888,,47980,
49610,,79235,
50205,,47980,
56739,,79622,
43605,,72927,
41347,,79235,
66560,,66698,
50659,,79235,
48471,,79235,
66568,,79622,
65041,,36894,
50554,,79235,
59582,,79622,
58733,,44810,
56739,,79235,
66415,,57122,
76728,,72225,
50753,,57122,
67703,,79235,
66560,,63606,
54913,,63606,
76728,,57122,
81257,,79235,
68652,,64929,
54638,,44810,
60384,,88635,
60228,,77375,
82323,,86946,
60228,,86946,
60228,,72295,
80631,,58670,
82323,,62764,
68652,,72295,
58664,,65165,
83363,,53306,
89075,,56729,
52545,,62764,
82323,,62764,
82323,,62764,
82323,,72295,
108718,,39239,
100857,,72295,
72438,,48866,
61311,,51573,
59901,,69375,
68652,,58943,
82323,,69375,
82323,,69375,
46606,,57772,
46309,,37308,
62264,,69375,
61428,,92638,
46309,,69375,
57907,,89379,
46309,,52259,
70705,,53621,
46309,,69230,
70161,,52259,
89236,,69375,
84456,,96354,
70161,,90249,
57907,,69375,
70161,,90249,
61428,,67201,
46309,,69375,
57032,,69375,
45313,,51786,
68779,,61768,
50803,,63351,
57618,,69375,
61847,,90249,
70705,,57726,
57907,,69375,
45313,,69375,
46309,,92638,
89236,,69375,
53751,,58444,
89236,,69375,
73731,,51333,
61334,,57726,
73731,,69375,
57209,,69375,
51732,,69375,
73731,,69375,
51732,,69375,
57279,,69375,
73731,,61768,
61435,,69375,
61435,,92638,
61383,,84311,
54474,,69375,
58275,,69375,
61383,,57772,
61383,,66591,
67264,,53485,
61383,,90249,
67264,,89379,
67264,,92638,
71733,,69375,
62131,,69375,
71733,,69375,
62131,,69375,
71733,,92638,
71733,,53485,
71733,,57772,
62131,,69375,
71733,,69230,
71733,,90249,
71733,,54001,
71733,,57280,
88003,,55782,
71486,,56427,
82862,,54366,
71486,,56838,
64495,,50707,
91416,,50707,
68752,,50707,
62468,,85827,
64495,,50707,
64495,,50707,
91416,,74064,
75627,,71351,
64522,,56838,
92770,,50707,
100281,,74064,
117275,,56838,
116328,,47885,
66565,,54145,
42754,,51228,
56148,,68435,
56148,,77905,
71118,,63869,
63012,,107710,
42754,,74427,
43032,,45912,
43618,,51603,
56148,,50258,
56148,,67331,
71118,,67295,
56148,,79557,
43175,,67295,
43618,,63975,
56148,,58419,
56148,,61379,
44928,,64783,
61791,,61767,
