Q1,Q2,Q3,Q4
18,,51.7,
35.3,,37.4,
35.3,,30.7,
39.5,,27.5,
23.3,,30.7,
33.7,,46.1,
21.2,,40.3,
35.3,,34.5,
12.9,,50.7,
25.2,,35.2,
35.6,,56.7,
32,,29.7,
32,,60.8,
32,,61.1,
32,,52.6,
32,,36,
32,,52.6,
32,,38.5,
32,,33.9,
32,,29.8,
15.8,,26.1,
14.8,,28.9,
12.9,,26.4,
32,,51.4,
31.9,,51.4,
32,,29.8,
32,,31.9,
32,,51.4,
32.8,,30.4,
34.1,,31.9,
32.8,,31.9,
32.8,,16,
32.8,,28.6,
20.2,,17.5,
34.1,,18.3,
32.8,,24.8,
34.1,,17.8,
34.9,,29.6,
57.1,,33.7,
49.9,,32,
31.8,,23.2,
31.8,,28.7,
38.1,,33.7,
30.4,,30.5,
24.5,,46,
38.1,,30.5,
33.1,,57.6,
39.9,,37,
31.8,,46.5,
38.1,,44.1,
57.1,,34.9,
57.1,,22.1,
38.1,,17.9,
31.8,,20.5,
20.3,,27.7,
20.3,,35.2,
39.9,,18.8,
16.1,,12.4,
31.8,,24.9,
38.1,,32.6,
38.1,,35.3,
38.1,,26.3,
31.8,,27.2,
33.7,,18.6,
31.8,,17.8,
46,,40.7,
15.5,,40.7,
34.6,,26.9,
34.9,,14.2,
34.9,,40.3,
22.5,,24.5,
31.8,,30.7,
51.3,,60.8,
41.7,,52.6,
30.4,,51.4,
51.3,,21.8,
26.5,,17.7,
34.6,,31.3,
22.2,,30.3,
51.3,,23.9,
34.9,,21.7,
51.3,,30.3,
31.8,,31.3,
38.1,,32.4,
19.7,,32.4,
38.1,,41.7,
21.8,,41.7,
31.8,,19.2,
49.9,,41.7,
38.1,,34.1,
33.8,,41.7,
34.9,,41.7,
30.4,,22.9,
40,,23.9,
46,,41.7,
33.1,,11.6,
33.7,,11.6,
46,,35.3,
34.9,,23.3,
34.9,,35.3,
46,,37.4,
21.8,,32.6,
38.1,,23.4,
38.1,,26,
38.1,,35.3,
38.1,,35.3,
31.8,,32.6,
31.8,,23.3,
57.1,,32,
31.8,,31.9,
31.8,,12.9,
21.8,,12.9,
39.9,,31.9,
16.1,,31.9,
18.4,,32,
57.1,,31.9,
58.8,,12.9,
26.5,,32,
38.1,,25.2,
38.6,,31.9,
58.8,,35.6,
40,,32,
30.4,,35.6,
38.1,,23,
57.1,,32,
