Q1,Q2,Q3,Q4
31.2,,43.2,
18.2,,30.9,
30.7,,30.2,
48.6,,16.5,
30.7,,35,
31.5,,44.5,
31,,30.2,
40.9,,31,
31.5,,42.5,
33.8,,35.5,
29.7,,49,
27.6,,27.1,
51.7,,26,
30.7,,38.6,
30.7,,27.1,
27.6,,49,
48.6,,20.9,
31,,26.4,
19.6,,31,
17.3,,31,
27.1,,21,
48.6,,42.5,
21.5,,17.4,
30.7,,19.8,
22.8,,28,
30.7,,42.5,
31,,29.9,
29.1,,31,
44.5,,49,
51.7,,42.5,
31,,17.1,
24.2,,26.4,
14.7,,24.5,
34.5,,49,
23.8,,26.6,
27.7,,26.4,
30.3,,23.6,
35.7,,17.4,
38.6,,29.9,
28.1,,29.9,
50.7,,22.5,
38.6,,24.5,
50.7,,21.2,
33.9,,29.2,
34,,38.8,
61.1,,38.8,
21.6,,38.9,
58.7,,34.5,
12.4,,25.9,
28.8,,40.1,
21.1,,20.9,
61.1,,22.8,
60.8,,24.9,
45.8,,30.5,
45.8,,30.5,
19.4,,23.9,
42.1,,30.5,
14.5,,23.9,
42.9,,23.9,
26.8,,30.5,
18,,37.3,
38.5,,37.3,
28.2,,40.7,
20.1,,32.6,
35.9,,35.6,
26.3,,35.6,
30,,35.6,
26.1,,35.6,
26.3,,32.6,
51.4,,35.6,
51.4,,24.6,
51.4,,35.6,
30.4,,26.8,
51.4,,40.5,
26.7,,40.5,
30,,40.5,
33.9,,40.7,
31.9,,32.6,
31.9,,35.6,
32.2,,40.5,
51.4,,40.5,
51.4,,44.9,
51.4,,31.8,
18.5,,44.9,
51.4,,31.8,
29.8,,31.9,
30,,44.9,
26.7,,14.7,
33.9,,37.5,
30.4,,31.5,
16.8,,44.9,
29.8,,35.1,
35.7,,31.5,
33.9,,37.5,
26.7,,52,
29.8,,34.8,
51.4,,31.9,
51.4,,31.8,
33.9,,42.7,
29.8,,31.8,
51.4,,31.8,
51.4,,27.4,
30,,31.9,
16.6,,44.9,
19,,29.2,
51.4,,44.9,
26.4,,37.5,
51.4,,40.9,
26.4,,44.9,
31.9,,48.3,
48.6,,31.8,
30,,42,
26.3,,27.4,
32.2,,35.1,
32.2,,37.5,
51.4,,27.4,
26.7,,35.1,
17.6,,40.9,
30.4,,66.5,
29.8,,24.3,
51.4,,33.9,
29.8,,20.5,
35.7,,33.9,
30.8,,33.9,
24.9,,33.9,
18.3,,33.9,
41.3,,33.9,
21.8,,15.9,
25.7,,33.9,
30.8,,33.9,
28.3,,33.9,
23.9,,21.7,
50.7,,30,
23.2,,20.4,
28.9,,32.2,
27.3,,52.7,
30.5,,45.2,
33.7,,33.7,
24.3,,28.3,
30.5,,35.6,
29.6,,22.3,
19.9,,32.2,
43.8,,45.2,
30.5,,31.5,
30.5,,37.7,
50.7,,48.2,
27.3,,33.7,
50.7,,30.9,
25.6,,22.3,
21.8,,23.2,
50.7,,31.3,
48.4,,19.8,
31.8,,33.7,
22.7,,36.5,
32,,26.9,
29.6,,35.2,
27.3,,34.5,
50.7,,27,
18.9,,35.6,
50.7,,48.2,
16.1,,35.5,
15,,19.1,
28,,27,
25.6,,29.8,
30.7,,48.2,
50.7,,31.5,
20.4,,31.5,
28.3,,36.5,
30.5,,33,
32.1,,45.2,
41.7,,27,
28.2,,41.3,
24,,21,
50.7,,35.6,
50.7,,45.2,
23.8,,40.6,
30.5,,31.4,
28.7,,36.5,
49.9,,35.6,
32,,22.3,
32,,41.3,
23.5,,22.1,
49.9,,35.2,
23.1,,35.2,
32.1,,23.6,
32.1,,23.1,
38.1,,37.7,
38.1,,35.6,
31.8,,32.2,
41.7,,33,
33.7,,36.5,
31.8,,34.5,
21.8,,27.6,
58.8,,31.5,
26.2,,23.1,
39.9,,52.7,
38.1,,35.5,
34.9,,37.7,
39.9,,35.6,
38.1,,24.4,
39.9,,30,
38.1,,35.6,
33.7,,29.8,
38.1,,28.3,
33.7,,35.2,
28.6,,35.6,
50.4,,41.4,
46.3,,19.4,
26.7,,30.1,
28.6,,31.5,
37.8,,29.8,
35.1,,35.6,
57.6,,16.5,
28.2,,48.2,
27.8,,31.3,
33.3,,35.6,
31,,36.5,
29.2,,19.8,
34.7,,25.5,
38.2,,37.7,
51.4,,36.5,
34.3,,35.5,
38,,31.5,
48.8,,23.1,
33.1,,34.5,
38,,34.5,
48.8,,22.1,
44.4,,33.7,
38,,31.4,
33.1,,24.7,
34,,35.5,
22.2,,48.2,
29.5,,19.6,
29.2,,28.6,
17.4,,51.8,
17.6,,13.1,
34.8,,41.6,
42.9,,30.5,
36.5,,20.9,
46.7,,39.2,
46.7,,44.8,
16.9,,15.3,
28,,44.8,
35.9,,51.8,
39.4,,51.8,
46.4,,25,
18.3,,41.6,
55.2,,31.5,
35.2,,51.8,
34.8,,39.2,
15.7,,31.2,
46.4,,41.3,
34.8,,51.8,
31,,20.6,
46.4,,28.6,
21,,51.8,
33.5,,51.8,
33.7,,28.4,
41.9,,24.2,
49.2,,31.8,
49.2,,39.3,
27.8,,39.2,
49.2,,51.8,
25,,20.6,
46,,51.8,
43.2,,15.8,
18.4,,25,
23.9,,47.5,
33.6,,51.8,
31.8,,35.3,
33.9,,51.8,
40.9,,39.3,
30,,39.2,
40.9,,39.2,
37.7,,39.2,
27.6,,39.2,
22.9,,20.9,
33.7,,39.3,
33.7,,33.8,
32.2,,27.5,
39.2,,24.2,
35.3,,44.8,
14.6,,35.3,
39.2,,39.2,
19.2,,51.8,
34.5,,51.8,
26.3,,28.4,
54.4,,16,
24.6,,16,
44.5,,51.8,
44.5,,39.3,
43.7,,18.7,
44.5,,19.4,
24.6,,51.8,
27.7,,44.8,
22.5,,21.9,
23.7,,35.3,
35.8,,31.8,
20.4,,44.8,
51.8,,51.8,
32.8,,31.2,
44.7,,44.8,
29.2,,31.8,
24.2,,24.2,
37.7,,28.4,
48.6,,16.8,
36.7,,51.8,
14.4,,51.8,
40.8,,12.7,
27.6,,39.3,
40.9,,34.8,
31.5,,44.8,
25.6,,44.8,
34.5,,44.8,
37.3,,31.8,
15.4,,51.8,
60.8,,39.2,
29.7,,44.8,
26.4,,20.7,
28.6,,39.3,
51.4,,39.2,
51.4,,23.1,
19,,33.8,
51.4,,39.2,
51.4,,16.8,
17.6,,21.3,
21.6,,39.3,
50.7,,17.3,
20.1,,26.3,
19.4,,39.4,
29.6,,37.1,
19.2,,39.3,
,,32.1,
,,32.1,
,,37.1,
,,14.2,
,,24,
,,14.8,
,,31.9,
,,27.4,
,,18.7,
,,31.9,
,,39.3,
,,14.8,
,,37.1,
,,26.2,
,,26.2,
,,27.9,
,,18.5,
,,39.3,
,,42.3,
,,26.2,
,,39,
,,26.3,
,,39.3,
,,27.4,
,,37.1,
,,29.8,
,,26.7,
,,18,
,,39.3,
,,24,
,,37.1,
,,26.3,
,,31.9,
,,12.5,
,,32.1,
,,27.4,
,,26.2,
,,54.4,
,,29.7,
,,21.9,
,,33.3,
,,39.3,
,,37.1,
,,29.7,
,,39.3,
,,28.7,
,,12.8,
,,31.9,
,,31.9,
,,32.1,
,,29.7,
,,29.8,
,,39.3,
,,37.1,
,,37.1,
,,32.1,
,,28,
,,24.1,
,,26.3,
,,18.6,
,,31.9,
,,37.1,
,,39.3,
,,32.1,
,,29.8,
,,29.8,
,,16,
,,22.8,
,,22.8,
,,31.9,
,,39.3,
,,15.3,
,,54.4,
,,27.4,
,,37.1,
,,37.1,
,,16.7,
,,31.9,
,,31.9,
,,27.9,
,,31.9,
,,32.1,
,,37.1,
,,26.2,
,,37.1,
,,37.1,
,,37.1,
,,33.1,
,,39.3,
,,31.9,
,,15.5,
,,32.5,
,,31.2,
,,31.8,
,,32.5,
,,31.2,
,,31.2,
,,31.8,
,,36.9,
,,31.2,
,,31.8,
,,26.8,
,,31.8,
,,19.1,
,,31.2,
,,44.5,
,,24,
,,24.6,
,,44.5,
,,44.5,
,,22.3,
,,44.5,
,,13.8,
,,22.8,
,,24.6,
,,44.5,
,,27.4,
,,43.7,
,,43.7,
,,21,
,,17.2,
,,17.2,
,,44.5,
,,26.5,
,,44.5,
,,36.8,
,,43.7,
,,44.5,
,,44.5,
,,22.8,
,,26.5,
,,44.5,
,,43.7,
,,34.2,
,,44.5,
,,44.5,
,,44.5,
,,44.5,
,,31.6,
,,44.5,
,,44.5,
,,44.5,
,,29.6,
,,44.5,
,,44.5,
,,44.5,
,,44.5,
,,17.2,
,,22.8,
,,36.8,
,,44.5,
,,29.6,
,,27.4,
,,53.6,
,,27.4,
,,21,
,,29.6,
,,44.5,
,,44.5,
,,22.8,
,,44.5,
,,22.8,
,,34.2,
,,34.2,
,,53.6,
,,27.4,
,,17,
,,24.7,
,,44.5,
,,43.7,
,,43.7,
,,44.5,
,,43.7,
,,21,
,,16.2,
,,26.5,
,,34.2,
,,40.7,
,,17.8,
,,24.2,
,,40.7,
,,28.5,
,,30.5,
,,29.2,
,,40.7,
,,22.8,
,,29.2,
,,21.4,
,,40.7,
,,23.2,
,,40.7,
,,24.2,
,,40.7,
,,40.7,
,,40.7,
,,27.7,
,,28.6,
,,28.6,
,,26.9,
,,29.4,
,,28.5,
,,40.5,
,,40.7,
,,29.4,
,,40.7,
,,20.4,
,,16.2,
,,27.7,
,,40.7,
,,24.2,
,,28.6,
,,24.2,
,,40.5,
,,35.8,
,,35.4,
,,23.7,
,,28.6,
,,28.6,
,,40.7,
,,32.8,
,,40.7,
,,26.9,
,,29.5,
,,28.6,
,,24.2,
,,35.4,
,,48.7,
,,40.7,
,,40.7,
,,29.4,
,,51.8,
,,24.2,
,,15.5,
,,28.6,
,,29.4,
,,28.1,
,,45,
,,32.1,
,,28.1,
,,45,
,,47.9,
,,45,
,,34.2,
,,42.8,
,,42.8,
,,42.8,
,,37.7,
,,24.6,
,,32,
,,42.8,
,,42.8,
,,34.2,
,,42.8,
,,42.8,
,,40.3,
,,34.2,
,,42.8,
,,34.2,
,,42.8,
,,34.7,
,,34.7,
,,31.9,
,,30.7,
,,36.7,
,,21.8,
,,40.3,
,,31.2,
,,40.3,
,,26.9,
,,13.5,
,,31.2,
,,40.3,
,,40.3,
,,22.8,
,,36.7,
,,40.3,
,,36.7,
,,25.4,
,,22.8,
,,40.3,
,,25.4,
,,32.4,
,,32.4,
,,40.3,
,,31.2,
,,59,
,,31.1,
,,59,
,,40.3,
,,19.6,
,,36.7,
,,36.7,
,,40.3,
,,40.3,
,,40.3,
,,31,
,,48.6,
,,35.3,
,,31,
,,20.5,
,,37.4,
,,48.6,
,,27.6,
,,33.8,
,,21.5,
,,31,
,,29.7,
,,25.6,
,,31,
,,25,
,,31,
,,23.7,
,,27.5,
,,31,
,,14.8,
,,34.7,
,,16.4,
,,44.5,
,,31.5,
,,31.5,
,,27.6,
,,48.6,
,,22.8,
,,25.8,
,,31,
,,30.7,
,,30.7,
,,30.7,
,,51.7,
,,48.6,
,,30,
,,30,
,,17.6,
,,51.7,
,,31,
,,40.3,
,,30.7,
,,31.5,
,,31,
,,20.5,
,,19.3,
,,21.5,
,,25.1,
,,31.5,
,,34.7,
,,32,
,,30.7,
,,20.8,
,,44.5,
,,48.6,
,,31.5,
,,24.5,
,,30.7,
,,23.1,
,,21.5,
,,13.3,
,,31,
,,31.5,
,,31,
,,24.5,
,,34.7,
,,31,
,,41.1,
,,41.1,
,,31.5,
,,30.7,
,,48.6,
,,31,
,,25.8,
,,51.7,
,,30.7,
,,48.6,
,,31,
,,23,
,,48.6,
,,34.5,
,,23,
,,34.5,
,,34.5,
,,34.5,
,,37.5,
,,34.5,
,,14.7,
,,55.3,
,,50.7,
,,50.7,
,,50.7,
,,41.5,
,,36.7,
,,50.7,
,,35.7,
,,50.7,
,,28.1,
,,36.3,
,,37.3,
,,37.3,
,,18,
,,28.9,
,,38.5,
,,78.5,
,,29.7,
,,24.2,
,,18.4,
,,60.8,
,,28,
,,23.8,
,,32.5,
,,60.8,
,,60.8,
,,18.5,
,,60.8,
,,28.1,
,,24.1,
,,36,
,,22.3,
,,38.5,
,,26.8,
,,28,
,,35.2,
,,60.8,
,,22.5,
,,60.8,
,,33.9,
,,42.9,
,,38.5,
,,20.5,
,,52.6,
,,13.9,
,,29.7,
,,39.8,
,,35.2,
,,38.5,
,,53.5,
,,61.1,
,,38.5,
,,39.2,
,,60.8,
,,21.3,
,,20.3,
,,12.8,
,,74.6,
,,29.1,
,,28,
,,60.8,
,,24.7,
,,29.1,
,,29.1,
,,35.2,
,,56.7,
,,52.6,
,,42.1,
,,34,
,,18.2,
,,28,
,,60.8,
,,34,
,,29.7,
,,35.2,
,,23.8,
,,42.1,
,,28,
,,26.8,
,,38.5,
,,36,
,,25.5,
,,34.8,
,,38.5,
,,38.5,
,,40.1,
,,28.9,
,,33.9,
,,22.5,
,,51.4,
,,31.9,
,,26.4,
,,51.4,
,,19,
,,16.6,
,,31.9,
,,33.9,
,,23.8,
,,32.2,
,,30.4,
,,26.7,
,,29.8,
,,30.4,
,,51.4,
,,26.3,
,,51.4,
,,51.4,
,,51.4,
,,28.6,
,,51.4,
,,35.7,
,,51.4,
,,31.9,
,,51.4,
,,26.7,
,,16.8,
,,51.4,
,,41.8,
,,26.7,
,,33,
,,32.2,
,,26.4,
,,28.9,
,,26.3,
,,35.7,
,,16.6,
,,51.4,
,,51.4,
,,51.4,
,,51.4,
,,48.6,
,,29.8,
,,51.4,
,,26.4,
,,33.9,
,,16,
,,51.4,
,,31.9,
,,51.4,
,,51.4,
,,51.4,
,,35.7,
,,51.4,
,,16,
,,30.4,
,,29.8,
,,15.8,
,,48.6,
,,33.9,
,,33.9,
,,31.9,
,,51.4,
,,32.2,
,,51.4,
,,51.4,
,,51.4,
,,51.4,
,,33.9,
,,51.4,
,,30.4,
,,26.4,
,,35.7,
,,51.4,
,,18,
,,51.4,
,,26.4,
,,26.4,
,,30.4,
,,51.4,
,,51.4,
,,51.4,
,,51.4,
,,51.4,
,,41.8,
,,18.5,
,,28.6,
,,51.4,
,,26.4,
,,51.4,
,,16,
,,51.4,
,,51.4,
,,30.4,
,,19,
,,23.6,
,,51.4,
,,34.8,
,,31.9,
,,51.4,
,,26.4,
,,16,
,,32.2,
,,30.4,
,,15.8,
,,33.9,
,,51.4,
,,33.9,
,,31.9,
,,26.4,
,,17.6,
,,26.4,
,,31.9,
,,31.9,
,,29.8,
,,51.4,
,,30.4,
,,51.4,
,,16,
,,33.9,
,,16,
,,51.4,
,,34.8,
,,30.4,
,,30,
,,33,
,,26.4,
,,30.4,
,,15.2,
,,16.3,
,,30.8,
,,16.3,
,,41.3,
,,30.8,
,,17.5,
,,17.5,
,,30.5,
,,23.9,
,,29.6,
,,24.7,
,,30.5,
,,20.1,
,,25.6,
,,23.2,
,,30.5,
,,18.9,
,,33.7,
,,24,
,,19.4,
,,27.3,
,,30.5,
,,50.7,
,,27.3,
,,50.7,
,,50.7,
,,24.3,
,,30.5,
,,28,
,,30.5,
,,30.5,
,,29.6,
,,50.7,
,,50.7,
,,34.3,
,,19.9,
,,33.7,
,,23.9,
,,23,
,,24.7,
,,25.7,
,,24.7,
,,21.8,
,,27.1,
,,28.7,
,,25.7,
,,14.4,
,,18.3,
,,21.1,
,,30.5,
,,29.6,
,,24.8,
,,23.9,
,,31.8,
,,30.5,
,,27.1,
,,34.3,
,,24.8,
,,30.5,
,,30.5,
,,50.7,
,,19.2,
,,31.9,
,,31.9,
,,32.4,
,,49.9,
,,28.7,
,,28.7,
,,17.2,
,,30,
,,57.4,
,,28.8,
,,57.4,
,,22,
,,31.8,
,,31.8,
,,38.1,
,,39.9,
,,38.1,
,,31.8,
,,39.9,
,,38.6,
,,33.8,
,,29.8,
,,46,
,,30.4,
,,24.7,
,,38.1,
,,39.9,
,,33.7,
,,38.1,
,,46,
,,30.4,
,,31.8,
,,34.9,
,,34.6,
,,39.9,
,,47.9,
,,47.9,
,,47.9,
,,46.3,
,,55.5,
,,47.9,
,,47.9,
,,33.3,
,,34.7,
,,35.7,
,,42.5,
,,57.6,
,,46.5,
,,37.8,
,,37.8,
,,34.2,
,,38,
,,22.6,
,,34.2,
,,37.7,
,,45.6,
,,22.1,
,,30.3,
,,36.1,
,,30.5,
,,23.7,
,,20.6,
,,42.9,
,,30.4,
,,32.7,
,,32.1,
,,36.8,
,,31.4,
,,46.7,
,,20.8,
,,31,
,,46.7,
,,40.6,
,,32.7,
,,36.7,
,,55.2,
,,55.2,
,,38.1,
,,35.1,
,,17.4,
,,46.4,
,,29.2,
,,38.5,
,,21,
,,35.1,
,,41.9,
,,49.2,
,,41.9,
,,30.9,
,,30.9,
,,19,
,,42.5,
,,49,
,,38.9,
,,30.5,
,,30.5,
,,40.7,
,,37.3,
,,33.6,
,,31.8,
,,42,
,,33.9,
,,20.9,
,,20.4,
,,30,
,,29.8,
,,27,
,,22.3,
,,45.2,
,,35.5,
,,33,
,,37.7,
,,29.8,
,,34.5,
,,19.2,
,,20.6,
,,51.8,
,,35.3,
,,51.8,
,,16.6,
,,51.8,
,,17.4,
,,31.8,
,,51.8,
,,29.7,
,,32.1,
,,16.7,
,,24,
,,31.8,
,,31.2,
,,44.5,
,,22.3,
,,44.5,
,,44.5,
,,44.5,
,,22.8,
,,36.8,
,,22.6,
,,24.5,
,,23.2,
,,45,
,,42.8,
,,39.2,
,,31.1,
,,31.1,
,,31.1,
,,30.7,
,,23.7,
,,41.1,
,,24.5,
,,30.7,
,,48.6,
,,29.7,
,,23.8,
,,18.4,
,,25,
,,52.6,
,,60.8,
,,32.9,
,,38.5,
,,23.8,
,,29.8,
,,30.4,
,,26.3,
,,33.9,
,,26.4,
,,51.4,
,,51.4,
,,26.4,
,,30,
,,26.4,
,,16,
,,30.5,
,,50.7,
,,25.7,
,,30,
