,BreweryName,BreweryType,Latitude,Longitude,County,State
4302,Bastion Brewing Company,brewpub,48.460805062576,-122.570872928244,,
4303,Geaux Brewing LLC,brewpub,47.3076745714286,-122.223720918367,King,WA
4304,Hideaway Brewing Co,micro,47.3206933,-122.1764384,King,WA
4305,Rail Hop'n Brewing Co,micro,47.3120418986318,-122.229088452132,King,WA
4306,Rock Wood Fired Pizza & Brewery - Auburn,contract,47.2448314,-122.2095415,,
4307,Northwood Public House & Brewery,brewpub,45.77521745,-122.523278621773,,
4308,Barrel Mountain Brewing,micro,45.7808638963937,-122.530930676251,,
4309,Bellevue Brewing Co,brewpub,47.6265806866727,-122.166930590479,,
4310,Resonate Brewery + Pizzeria,brewpub,47.5523206,-122.1774828,King,WA
4311,Aslan Brewing Company,micro,48.7480153061224,-122.475450877551,Whatcom,WA
4312,Boundary Bay Brewery & Bistro,brewpub,48.7475046,-122.4809958,,
4313,Gruff Brewing Company,micro,48.7472243,-122.4822547,Whatcom,WA
4314,Illuminati Brewing Company,brewpub,48.7838573030303,-122.456005606061,Whatcom,WA
4315,Kulshan Brewing Co,micro,48.7601273,-122.4645645,,
4316,Kulshan Brewing Co - K2,micro,48.7576734843602,-122.453928093663,,
4317,Melvin Brewing Bellingham,brewpub,48.7621708979592,-122.485982020408,,
4318,Menace Brewing,micro,48.7635508571429,-122.486221142857,Whatcom,WA
4319,Stones Throw Brewery,micro,48.718516,-122.497165,Whatcom,WA
4320,Structures Brewing,micro,48.74988055,-122.474450699451,,
4321,Wander Brewing,micro,48.7541094693877,-122.473755877551,Whatcom,WA
4322,Chuckanut Brewery - North Nut,micro,48.7533261,-122.4851164,Whatcom,WA
4323,Foothills Brewing and Beverage Co,micro,47.328838,-122.006345,,
4324,Atwood Ales,micro,48.9790061428571,-122.699045857143,,
4325,Beardslee Public House,brewpub,47.7663209,-122.1914046,,
4326,McMenamins Anderson School Brewery,brewpub,47.7638777210884,-122.208069768707,King,WA
4327,Bad Bulldogs Brewery,micro,47.5696392121212,-122.653373636364,Kitsap,WA
4328,Dog Days Brewing,brewpub,47.5658843,-122.6259002,Kitsap,WA
4329,LoveCraft Brewing Co,micro,47.5664595,-122.6257694,Kitsap,WA
4330,Silver City Brewery,regional,47.56156065,-122.678010092627,Kitsap,WA
4331,Elliott Bay Brewhouse & Pub - Burien,brewpub,47.466775,-122.337338090909,,
4332,Cardinal Craft Brewing Academy/ Skagit Valley College,micro,48.4719343,-122.3533958,Skagit,WA
4333,Grains of Wrath Brewing,brewpub,45.5857341,-122.4056003,Clark,WA
4334,Mill City Brew Werks,brewpub,45.585626,-122.404172,Clark,WA
4335,Backwoods Brewing Company - Production Only,micro,45.7287225339951,-121.820375417521,Skamania,WA
4336,Backwoods Brewing Company,micro,45.7287225339951,-121.820375417521,Skamania,WA
4337,Mile Post 111 Brewing,brewpub,47.5236059,-120.4700494,Chelan,WA
4338,Parker's Steakhouse and Brewery,brewpub,46.287285,-122.898886,Cowlitz,WA
4339,River Mile 38 Brewing Co,micro,46.2054338,-123.3853742,Wahkiakum,WA
4340,Dicks Brewing Co,micro,46.7354924848485,-122.999969333333,Lewis,WA
4341,McMenamins Olympic Club Brewery,brewpub,46.7167828,-122.9539398,Lewis,WA
4342,Stormy Mountain Brewing Company,brewpub,47.8401295,-120.0177327,Chelan,WA
4343,Quartzite Brewing Company,micro,48.27618,-117.71646,Stevens,WA
4344,Fired Up Brewing,brewpub,48.540198,-117.9057561,Stevens,WA
4345,BirdsView Brewing Co,micro,48.5357818,-121.7378167,Skagit,WA
4346,River Time Brewing,brewpub,48.2490529141241,-121.602040168904,Snohomish,WA
4347,Chief Spring's Fire and Irons Brew Pub,brewpub,46.3192285,-117.9811345,Columbia,WA
4348,North Fork Brewing Co,brewpub,48.833032,-122.243112,,
4349,Forward Operating Base Brewing Company / FOB Brewing,micro,47.107496,-122.625039,,
4350,Valley House Brewing,brewpub,47.7431528571429,-121.985884591837,King,WA
4351,Island Hoppin' Brewery,micro,48.7026805323222,-122.915252600923,,
4352,Whipsaw Brewing LLC,micro,46.9989453,-120.5552612,Kittitas,WA
4353,At Large Brewing,micro,47.9808918,-122.2146867,,
4354,Scuttlebutt Brewing Co,micro,47.9736304,-122.1943218,,
4355,Friday Harbor Brewing,micro,48.5302680302843,-123.022332659091,,
4356,San Juan Island Brewing Company,brewpub,48.5327654137931,-123.015023275862,,
4357,Dwinell Country Ales,micro,45.822927,-120.824777313583,,
